drift_prob,game_over_penalty,algorithm,avg_reward,success_rate,n_episodes
0.20,100,VI,-45.275,0.760,100
0.20,100,PI,-45.275,0.760,100
0.20,500,VI,-67.720,1.000,100
0.20,500,PI,-67.720,1.000,100
0.20,1000,VI,-67.720,1.000,100
0.20,1000,PI,-67.720,1.000,100
0.30,100,VI,-57.425,0.700,100
0.30,100,PI,-57.425,0.700,100
0.30,500,VI,-66.200,1.000,100
0.30,500,PI,-66.200,1.000,100
0.30,1000,VI,-66.200,1.000,100
0.30,1000,PI,-66.200,1.000,100
0.40,100,VI,-72.015,0.670,100
0.40,100,PI,-72.015,0.670,100
0.40,500,VI,-73.760,1.000,100
0.40,500,PI,-73.760,1.000,100
0.40,1000,VI,-73.760,1.000,100
0.40,1000,PI,-73.760,1.000,100
